,mal_id,score,english_name,type,episodes,premiered,studios,source,duration,ranked,popularity,members,favorites,watching,completed,on-hold,dropped,plan_to_watch,genres1,genres2,genres3,genres4,genres5,rating_clean,aired_start,aired_stop,aired_start_y,aired_stop_y,airing_time_days,rating_tot,airing_time_category
1260,15417,9.04,Gintama:Enchousen,TV,13,2012,Sunrise,Manga,24 min. per ep.,9.0,660,222819,2586,7800,143353,2753,2012,66901,Action, Comedy, Parody, Samurai, Sci-Fi,PG-13,2012-10-04,2013-03-28,2012,2013,175 days,-0.28374922115068185,long
1261,15451,7.54,High School DxD New,TV,12,2013,TNK,Light novel,24 min. per ep.,1459.0,144,668482,4757,19634,585660,7406,9498,46284,Action, Harem, Demons, Romance, Ecchi,R+,2013-07-07,2013-09-22,2013,2013,77 days,-0.21375318321736914,short
1262,15545,5.1,Bottom Biting Bug,TV,20,2012,Kinema Citrus,Music,5 min. per ep.,10467.0,9993,1223,1,66,528,54,267,308,Comedy, Kids,,,,G,2012-10-07,2013-02-24,2012,2013,140 days,0.6524039766117414,long
1263,15565,6.19,Maken-Ki! Two,TV,10,2014,Xebec,Manga,24 min. per ep.,7420.0,1264,113798,128,5517,76130,2489,4229,25433,Action, Harem, Ecchi, Martial Arts, School,R+,2014-01-16,2014-03-20,2014,2014,63 days,-0.03684090600676468,short
1264,15583,7.22,Date A Live,TV,12,2013,AIC PLUS+,Light novel,23 min. per ep.,2670.0,123,725237,14111,26962,541505,12802,21904,122064,Sci-Fi, Harem, Romance, Mecha, School,R,2013-04-06,2013-06-22,2013,2013,77 days,-0.19656414699058566,short
1265,15605,6.13,Brothers Conflict,TV,12,2013,Brain's Base,Novel,24 min. per ep.,7678.0,1045,143313,823,6027,101512,3294,11044,21436,Harem, Romance,,,,PG-13,2013-07-02,2013-09-17,2013,2013,77 days,-0.04820608712902239,short
1266,15611,7.17,Cardfight!! Vanguard Link Joker,TV,59,2013,TMS Entertainment,Original,24 min. per ep.,2898.0,3930,17011,74,1144,11595,679,798,2795,Action, Adventure, Game, Shounen,,PG-13,2013-01-13,2014-03-02,2013,2014,413 days,0.07992588571318278,very_long
1267,15613,7.44,Hakkenden -Eight Dogs of the East-,TV,13,2013,Studio Deen,Manga,24 min. per ep.,1763.0,1441,96288,670,5009,50274,3618,4982,32405,Action, Demons, Fantasy, Shoujo,,PG-13,2013-01-06,2013-03-31,2013,2013,84 days,-0.11394352896238301,medium
1268,15651,7.28,Phi Brain:Puzzle of God 3,TV,25,2013,Sunrise,Original,25 min. per ep.,2439.0,2892,31633,43,1597,16537,1353,1269,10877,Action, Game, Shounen,,,PG-13,2013-10-06,2014-03-23,2013,2014,168 days,-0.0006136063558146276,long
1269,15699,7.28,Nyaruko:Crawling With Love! Second Season,TV,12,2013,Xebec,Light novel,24 min. per ep.,2442.0,1010,147938,307,5869,104404,3528,3520,30617,Sci-Fi, Comedy,,,,PG-13,2013-04-08,2013-07-01,2013,2013,84 days,-0.13254222045298159,medium
1270,15793,7.46,Symphogear G,TV,13,2013,Satelight,Original,23 min. per ep.,1708.0,2277,49269,574,2458,30970,1320,1260,13261,Action, Music,,,,PG-13,2013-07-05,2013-09-27,2013,2013,84 days,-0.056777376192535076,medium
1271,15809,7.83,The Devil is a Part-Timer!,TV,13,2013,White Fox,Light novel,24 min. per ep.,776.0,62,1061216,9596,39724,839612,20128,16062,145690,Comedy, Demons, Romance, Fantasy,,PG-13,2013-04-04,2013-06-27,2013,2013,84 days,-0.24237122984199763,medium
1272,15863,7.36,Majestic Prince,TV,24,2013,"Doga Kobo, Orange",Manga,23 min. per ep.,2062.0,2279,49347,161,3830,25316,2449,4181,13571,Action, Mecha, Sci-Fi, Seinen, Space,PG-13,2013-04-04,2013-09-19,2013,2013,168 days,-0.049311793384089996,long
1273,15883,6.16,Fantasista Doll,TV,12,2013,"Hoods Entertainment, Production IMS",Original,23 min. per ep.,7538.0,3327,24344,19,1562,10842,1300,3338,7302,Sci-Fi, Magic,,,,PG-13,2013-07-07,2013-09-29,2013,2013,84 days,0.10983720304109137,medium
1274,15911,7.38,Yuyushiki,TV,12,2013,Kinema Citrus,4-koma manga,23 min. per ep.,2006.0,1553,88623,564,5080,42054,3168,3549,34772,Slice of Life, Comedy, Seinen,,,PG-13,2013-04-10,2013-06-26,2013,2013,77 days,-0.1017675516482607,short
1275,16005,7.53,Unlimited Psychic Squad,TV,12,2013,Manglobe,Original,24 min. per ep.,1479.0,1228,118590,364,6726,66029,3708,3431,38696,Action, Super Power, Shounen,,,R,2013-01-08,2013-03-26,2013,2013,77 days,-0.13515089502936567,short
1276,16009,7.35,Sunday Without God,TV,12,2013,Madhouse,Light novel,23 min. per ep.,2110.0,784,190201,879,11067,101189,8779,11673,57493,Adventure, Mystery,,,,R,2013-07-07,2013-09-22,2013,2013,77 days,-0.15362524196730076,short
1277,16011,7.53,Tokyo Ravens,TV,24,2013,8bit,Light novel,23 min. per ep.,1475.0,355,375763,1926,22892,226432,13266,15947,97226,Action, Comedy, Magic, Romance, School,PG-13,2013-10-09,2014-03-26,2013,2014,168 days,-0.19699318392602247,long
1278,16035,7.14,Karneval,TV,13,2013,Manglobe,Manga,24 min. per ep.,3050.0,842,178536,1173,10876,98473,8488,11907,48792,Action, Fantasy, Mystery, Sci-Fi,,PG-13,2013-04-04,2013-06-27,2013,2013,84 days,-0.1346996749797152,medium
